1742916200,30.81,30.88,3448,4.06
1742916201,30.81,30.88,3425,4.06
1742916203,30.88,30.94,3414,4.06
1742916205,30.94,30.94,3415,4.06
1742916206,30.94,30.94,3414,4.05
1742916578,21.75,21.69,59,4.07
1742916580,21.75,21.69,120,4.08
1742916581,21.75,21.75,139,4.07
1742916583,21.75,21.81,90,4.06
1742916585,21.75,21.81,35,4.07
1742919729,21.06,21.94,24,4.08
1742919730,21.06,21.94,24,4.07
1742919731,21.06,21.94,24,4.05
1742919733,21.06,21.94,24,4.07
1742919734,21.06,21.94,24,4.07
1742919865,20.88,21.94,27,4.08
1742919866,20.88,21.94,28,4.08
1742919868,20.88,21.94,28,4.06
1742919869,20.88,21.94,28,4.05
1742919870,20.88,21.94,27,4.06
1742919943,20.81,21.94,27,4.05
1742919944,20.75,21.94,27,4.07
1742919945,20.75,21.94,28,4.07
1742919947,20.75,21.94,27,4.07
1742919948,20.75,21.94,27,4.04
1742920319,23.00,22.38,0,4.04
1742920320,23.00,22.38,0,4.07
1742920321,22.94,22.38,0,4.07
1742920323,22.94,22.31,9,4.07
1742920324,22.94,22.31,6,4.07
1742920695,17.88,16.50,230,4.07
1742920696,17.88,16.50,230,4.08
1742920697,17.88,16.50,229,4.07
1742920699,17.88,16.50,229,4.07
1742920700,17.81,16.50,229,4.07
1742921071,17.06,15.62,219,4.07
1742921072,17.06,15.62,219,4.05
1742921073,17.06,15.62,219,4.03
1742921075,17.06,15.62,219,4.06
1742921076,17.06,15.62,219,4.06
1742921447,16.56,15.25,206,4.06
1742921448,16.56,15.25,206,4.06
1742921449,16.50,15.25,206,4.07
1742921451,16.50,15.19,206,4.07
1742921452,16.50,15.25,206,4.04
1742921823,16.19,14.69,197,4.08
1742921824,16.25,14.69,197,4.06
1742921825,16.19,14.69,197,4.07
1742921827,16.19,14.69,197,4.04
1742921828,16.19,14.69,197,4.07
1742922199,15.94,14.19,193,4.06
1742922200,15.94,14.19,192,4.06
1742922201,15.94,14.12,193,4.08
1742922203,15.94,14.12,193,4.05
1742922204,15.94,14.12,193,4.07
1742922575,15.56,14.00,190,4.05
1742922576,15.50,14.00,190,4.07
1742922577,15.50,14.00,190,4.06
1742922579,15.50,14.00,190,4.06
1742922580,15.50,14.00,190,4.07
1742922951,15.38,14.56,204,4.06
1742922952,15.38,14.56,204,4.05
1742922953,15.38,14.56,204,4.04
1742922955,15.38,14.56,205,4.06
1742922956,15.38,14.56,204,4.06
1742923327,15.38,14.19,256,4.04
1742923328,15.38,14.19,257,4.06
1742923329,15.38,14.19,257,4.05
1742923331,15.38,14.19,258,4.07
1742923332,15.38,14.19,259,4.05
1742923703,15.56,14.62,350,4.07
1742923704,15.50,14.69,350,4.07
1742923705,15.56,14.69,349,4.04
1742923707,15.50,14.69,349,4.05
1742923708,15.56,14.69,350,4.05
1742924079,15.69,14.69,261,4.05
1742924080,15.75,14.69,260,4.05
1742924081,15.75,14.69,260,4.06
1742924083,15.75,14.69,260,4.05
1742924084,15.69,14.69,259,4.06
1742924455,15.56,14.31,205,4.06
1742924456,15.56,14.31,205,4.05
1742924457,15.56,14.31,205,4.04
1742924459,15.56,14.31,205,4.07
1742924460,15.56,14.25,205,4.05
1742924831,15.25,13.75,215,4.05
1742924832,15.25,13.81,215,4.05
1742924833,15.25,13.81,215,4.04
1742924834,15.25,13.81,215,4.04
1742924836,15.25,13.81,215,4.07
1742925207,15.06,13.38,219,4.07
1742925208,15.06,13.44,220,4.07
1742925209,15.06,13.44,220,4.04
1742925210,15.06,13.44,220,4.06
1742925212,15.06,13.44,220,4.05
1742925583,14.88,13.50,222,4.06
1742925584,14.81,13.44,222,4.07
